"country";"population_2020"
"Afghanistan";38980632
"Albania";2877573
"Algeria";43900083
"Andorra";77274
"Angola";32922623
"Anguilla";15012
"Antigua and Barbuda";97983
"Argentina";45223300
"Armenia";2963630
"Aruba";106797
"Australia";25519167
"Austria";9009896
"Azerbaijan";10145250
"Bahamas";393493
"Bahrain";1704719
"Bangladesh";164797647
"Barbados";287400
"Belarus";9449102
"Belgium";11593089
"Belize";398075
"Benin";12141530
"Bermuda";62261
"Bhutan";772164
"Bolivia";11683237
"Bosnia and Herzegovina";3279315
"Botswana";2354516
"Brazil";212661228
"British Virgin Islands";30245
"Brunei";437756
"Bulgaria";6944559
"Burkina Faso";20935989
"Burundi";11910554
"Cabo Verde";556383
"Cambodia";16733787
"Cameroon";26584456
"Canada";37764184
"Central African Republic";4834996
"Caribbean Netherlands";26239
"Cayman Islands";65772
"Chad";16452449
"Channel Islands";173969
"Chile";19127140
"China";1439323776
"Colombia";50918491
"Comoros";870717
"Congo (Brazzaville)";5526039
"Costa Rica";5097206
"Croatia";4103402
"Cuba";11326125
"Curaçao";164139
"Cyprus";1207950
"Czechia";10710370
"Denmark";5793612
"Djibouti";988915
"Dominica";71998
"Dominican Republic";10855084
"Congo (Kinshasa)";89712507
"Ecuador";17660035
"Egypt";102453147
"El Salvador";6488443
"Equatorial Guinea";1405482
"Eritrea";3549565
"Estonia";1326598
"Eswatini";1160954
"Ethiopia";115130088
"Faeroe Islands";48876
"Falkland Islands";3486
"Fiji";896882
"Finland";5541323
"France";65283584
"French Guiana";299130
"French Polynesia";281018
"Gabon";2228837
"Gambia";2420519
"Georgia";3988618
"Germany";83802499
"Ghana";31112174
"Gibraltar";33690
"Greece";10419334
"Greenland";56777
"Grenada";112559
"Guadeloupe";400129
"Guatemala";17936018
"Guinea";13153183
"Guinea-Bissau";1970748
"Guyana";786812
"Haiti";11411547
"Honduras";9914535
"Hong Kong";7501050
"Hungary";9658585
"Iceland";341393
"India";1380900513
"Indonesia";273713592
"Iran";84062376
"Iraq";40276360
"Ireland";4941393
"Isle of Man";85064
"Israel";9197590
"Italy";60455471
"Cote d'Ivoire";26416469
"Jamaica";2962055
"Japan";126448497
"Jordan";10209819
"Kazakhstan";18791305
"Kenya";53842237
"Kuwait";4274587
"Kyrgyzstan";6530946
"Laos";7282288
"Latvia";1884615
"Lebanon";6823217
"Lesotho";2143387
"Liberia";5064710
"Libya";6877289
"Liechtenstein";38136
"Lithuania";2719357
"Luxembourg";626618
"Macao";649903
"Madagascar";27732292
"Malawi";19158578
"Malaysia";32392776
"Maldives";541136
"Mali";20283699
"Malta";441625
"Martinique";375244
"Mauritania";4656707
"Mauritius";1271916
"Mayotte";273202
"Mexico";129021774
"Moldova";4033289
"Monaco";39261
"Mongolia";3281612
"Montenegro";628072
"Montserrat";4992
"Morocco";36939019
"Mozambique";31305140
"Burma";54434449
"Namibia";2543754
"Nepal";29169282
"Netherlands";17137516
"New Caledonia";285680
"New Zealand";5002100
"Nicaragua";6629679
"Niger";24252528
"Nigeria";206438279
"North Macedonia";2083368
"Norway";5424083
"Oman";5114175
"Pakistan";221154992
"Palestine";5108442
"Panama";4319053
"Papua New Guinea";8957444
"Paraguay";7138218
"Peru";33001256
"Philippines";109674895
"Poland";37843655
"Portugal";10194564
"Qatar";2807805
"Romania";19228208
"Russia";145938879
"Rwanda";12970988
"Réunion";895742
"Korea, South";51272290
"Saint Kitts and Nevis";53224
"Saint Lucia";183685
"Saint Martin";38707
"Saint Pierre Miquelon";5792
"San Marino";33936
"Sao Tome and Principe";219410
"Saudi Arabia";34848130
"Senegal";16769360
"Serbia";8734813
"Seychelles";98388
"Sierra Leone";7986840
"Singapore";5853425
"Sint Maarten";42908
"Slovakia";5459829
"Slovenia";2078958
"Somalia";15918419
"South Africa";59357051
"South Sudan";11202270
"Spain";46756057
"Sri Lanka";21419425
"Saint Vincent and the Grenadines";110964
"Sudan";43909879
"Suriname";586981
"Sweden";10103535
"Switzerland";8658880
"Syria";17525621
"Taiwan*";23819790
"Tajikistan";9550428
"Tanzania";59830376
"Thailand";69812168
"Timor-Leste";1319988
"Togo";8290203
"Trinidad and Tobago";1399802
"Tunisia";11826749
"Turkey";84398593
"Turks and Caicos";38751
"United Arab Emirates";9898162
"Uganda";45820261
"United Kingdom";67910360
"Ukraine";43714427
"Uruguay";3474562
"US";331134610
"Uzbekistan";33500117
"Holy See";801
"Venezuela";28430130
"Vietnam";97396784
"Western Sahara";598199
"Yemen";29865309
"Zambia";18413183
"Zimbabwe";14876706
